time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/std,train/loss,train/approx_kl
2829,61,173568,339,0.340234375,0.2,0.0002,21.88426066637039,3380,195.89118664999998,-3.6805435955524444,999.02,0.01227461074013263,0.9282158762216568,0.8378458023071289,3.3994641304016113,0.04387393
2837,61,174080,340,0.50546875,0.2,0.0002,34.47022452354431,3390,200.90627878000004,-3.67983592748642,999.02,0.043513997877016666,0.8461245745420456,0.8374835252761841,2.8280487060546875,0.13259703
2846,61,174592,341,0.38125,0.2,0.0002,33.03892049789429,3400,200.90627878000004,-3.6788275718688963,999.02,0.023531842976808548,0.844226211309433,0.837357223033905,5.192862510681152,0.039208744
2854,61,175104,342,0.2822265625,0.2,0.0002,40.86820154190063,3410,202.01855948000005,-3.678794729709625,999.02,0.0019090318586677314,0.7086324393749237,0.837286651134491,10.63376235961914,0.026056115
2862,61,175616,343,0.43203125,0.2,0.0002,32.69077365398407,3420,202.01855948000005,-3.6787328839302065,999.02,0.01752971992827952,0.6581749320030212,0.8371968269348145,7.115251064300537,0.058908407
2870,61,176128,344,0.2423828125,0.2,0.0002,10.06498192846775,3430,201.73042812,-3.6782222509384157,999.02,0.005815744935534895,0.9057534709572792,0.8369180560112,1.2210748195648193,0.019698743
2878,61,176640,345,0.2068359375,0.2,0.0002,5.884561395645141,3440,201.73042812,-3.6765765845775604,999.02,-0.0036086296662688256,0.9559068381786346,0.8364747762680054,1.7854396104812622,0.01692768
2886,61,177152,346,0.36171875,0.2,0.0002,2.865523913502693,3450,203.22237051000005,-3.6763074100017548,999.02,0.010356705193407834,0.9697449505329132,0.837151050567627,0.3282012939453125,0.07397751
2894,61,177664,347,0.2212890625,0.2,0.0002,3.920711849629879,3460,203.22237051000005,-3.6795758605003357,999.02,-0.005410963506437838,0.9586629197001457,0.8379327058792114,0.3907932937145233,0.016453296
2902,61,178176,348,0.3,0.2,0.0002,33.78108601570129,3470,206.11463747000002,-3.6813175857067106,999.02,0.006419507903046906,0.9130494594573975,0.8382656574249268,9.457529067993164,0.03047654
2910,61,178688,349,0.230859375,0.2,0.0002,7.620687019824982,3480,206.11463747000002,-3.681404197216034,999.02,-0.011783910659141838,0.9571160152554512,0.8381239175796509,1.6957547664642334,0.02465088
2918,61,179200,350,0.37421875,0.2,0.0002,39.03205523490906,3490,207.50571953,-3.6810261845588683,999.02,0.005412064539268613,0.8658317476511002,0.8381950259208679,12.685519218444824,0.049429134
2925,61,179712,351,0.440625,0.2,0.0002,20.341258323192598,3500,207.50571953,-3.6814956843852995,999.02,0.016141647612676023,0.9259882345795631,0.83833909034729,2.2799935340881348,0.035647254
2933,61,180224,352,0.1880859375,0.2,0.0002,3.747794570028782,3510,208.79700544999997,-3.681579440832138,999.02,0.004059529700316489,0.8405169099569321,0.8380091190338135,0.3742329478263855,0.013497202
2942,61,180736,353,0.3916015625,0.2,0.0002,9.985508945584296,3520,208.79700544999997,-3.6801678121089934,999.02,0.012487837416119873,0.9459756314754486,0.8379296660423279,1.5263993740081787,0.03839394
2950,61,181248,354,0.358984375,0.2,0.0002,29.89285740852356,3530,215.30307832999998,-3.6807478785514833,999.02,0.00903894987422973,0.7913613468408585,0.8381953239440918,12.432449340820312,0.040641904
2958,61,181760,355,0.2916015625,0.2,0.0002,20.7005797624588,3540,215.30307832999998,-3.680329662561417,999.02,-0.004455867386423051,0.7153234779834747,0.8376640677452087,3.006089448928833,0.032296367
2966,61,182272,356,0.2529296875,0.2,0.0002,36.63538064956665,3550,223.14170722999995,-3.6790739953517915,999.02,0.0016734115313738584,0.8450024127960205,0.8376169204711914,10.816557884216309,0.034592286
2975,61,182784,357,0.3330078125,0.2,0.0002,13.442427980899812,3560,223.14170722999995,-3.6789437532424927,999.02,0.020091989706270397,0.3624647259712219,0.8374812006950378,1.9031982421875,0.070283316
2983,61,183296,358,0.4869140625,0.2,0.0002,16.598643171787263,3570,228.74335842,-3.6784798324108126,999.02,0.029397751623764633,0.6986681222915649,0.8372620344161987,5.6998467445373535,0.10194182
2991,61,183808,359,0.26015625,0.2,0.0002,6.883278676867485,3580,228.74335842,-3.678138095140457,999.02,-0.004478624113835395,0.924943134188652,0.83720862865448,1.0226300954818726,0.045262456
2999,61,184320,360,0.49375,0.2,0.0002,10.49602016210556,3590,233.64867693999997,-3.678113079071045,999.02,0.049541593273170294,0.2442881464958191,0.8372251391410828,4.581923484802246,0.016883055
3007,61,184832,361,0.2734375,0.2,0.0002,7.67356196641922,3600,233.64867693999997,-3.6779005348682405,999.02,0.0020552142756059765,0.8918447643518448,0.8371435403823853,1.0820635557174683,0.024049826
3015,61,185344,362,0.363671875,0.2,0.0002,8.77125174999237,3610,239.13238621,-3.6778014481067656,999.02,0.012023613951168955,0.42791175842285156,0.8370818495750427,2.2705562114715576,0.02906815
3023,61,185856,363,0.4154296875,0.2,0.0002,4.621701693534851,3620,239.13238621,-3.6763056099414824,999.02,-0.0055311786010861395,0.900506317615509,0.8363064527511597,0.8812261819839478,0.032970794
3031,61,186368,364,0.271875,0.2,0.0002,5.547834730148315,3630,245.94160824,-3.6742524445056914,999.02,0.00463922341587022,0.4574565291404724,0.8365704417228699,1.3393319845199585,0.05283878
3039,61,186880,365,0.54140625,0.2,0.0002,3.988161528110504,3640,245.94160824,-3.6754569828510286,999.02,0.05310155807528645,0.9582227915525436,0.8365146517753601,1.0636688470840454,0.05616077
3047,61,187392,366,0.422265625,0.2,0.0002,21.46036778688431,3650,248.58663866999999,-3.674736315011978,999.02,0.016659233556129038,0.9037741050124168,0.8365523815155029,3.2280824184417725,0.048111275
3055,61,187904,367,0.36875,0.2,0.0002,24.6543053150177,3660,253.45364489999997,-3.6759967863559724,999.02,0.03716348728630692,0.8829723671078682,0.837239146232605,5.931963920593262,0.05326461
3063,61,188416,368,0.377734375,0.2,0.0002,30.29028789997101,3670,253.45364489999997,-3.6777426660060883,999.02,0.023149975994601845,0.8572583496570587,0.8374391794204712,5.526355266571045,0.023435352
3071,61,188928,369,0.3001953125,0.2,0.0002,19.661364555358887,3680,258.67189417000003,-3.677519124746323,999.02,0.002747043105773628,0.7915033251047134,0.8373721837997437,3.0183279514312744,0.03756728
3079,61,189440,370,0.32890625,0.2,0.0002,23.668901526927947,3690,258.67189417000003,-3.677041608095169,999.02,0.011927927425131202,0.8437116891145706,0.8370705842971802,2.906601905822754,0.04360558
3087,61,189952,371,0.32421875,0.2,0.0002,9.299714291095734,3700,262.72729905000006,-3.6756012439727783,999.02,0.013184726634062827,0.8753225281834602,0.8368371725082397,2.1956658363342285,0.036514614
3096,61,190464,372,0.3876953125,0.2,0.0002,29.787640595436095,3710,262.72729905000006,-3.6749189138412475,999.02,0.022690730006434023,0.7521797865629196,0.8369996547698975,3.5097804069519043,0.04946406
3103,61,190976,373,0.2501953125,0.2,0.0002,7.640169996023178,3720,262.91674586,-3.6749455451965334,999.02,6.587300449609757e-05,0.9520672187209129,0.8367985486984253,1.2938780784606934,0.019196076
3111,61,191488,374,0.2609375,0.2,0.0002,22.850223851203918,3730,262.91674586,-3.6746576964855193,999.02,-0.0008638206636533141,0.7882249504327774,0.837075412273407,3.136871337890625,0.02814307
3119,61,192000,375,0.3689453125,0.2,0.0002,26.523422741889952,3740,267.52989888,-3.67590793967247,999.02,0.017925653117708863,0.9095664173364639,0.8375066518783569,4.002047538757324,0.044861004
3127,61,192512,376,0.3384765625,0.2,0.0002,27.045579028129577,3750,265.93394707,-3.677873545885086,993.84,0.012582349800504744,0.8923577889800072,0.8381304740905762,4.629679203033447,0.055947587
3135,61,193024,377,0.57578125,0.2,0.0002,82.8027016878128,3760,265.93394707,-3.6801863074302674,993.84,0.05737680736929178,0.7467759549617767,0.8386015295982361,5.980095386505127,0.72920936
3143,61,193536,378,0.4626953125,0.2,0.0002,78.20956869125366,3770,268.70282482,-3.68118639588356,993.84,0.03703712257556617,0.8544308096170425,0.8386306762695312,19.753726959228516,0.12384375
3150,61,194048,379,0.3705078125,0.2,0.0002,87.69656510353089,3780,268.70282482,-3.6810321390628813,993.84,0.04202462893445045,0.8745332956314087,0.8385760188102722,18.176910400390625,0.08054021
3158,61,194560,380,0.3767578125,0.2,0.0002,35.79080419540405,3790,269.66064638,-3.680838072299957,992.19,0.01891685351729393,0.8865334764122963,0.838444709777832,7.236546993255615,0.05096122
3166,61,195072,381,0.4958984375,0.2,0.0002,192.43537139892578,3800,269.66064638,-3.680551415681839,992.19,0.03975919219665229,0.6607497334480286,0.8385283350944519,52.845619201660156,0.3668169
3175,61,195584,382,0.3587890625,0.2,0.0002,29.507488703727724,3810,275.26328832,-3.6808550119400025,992.19,0.015568356588482856,0.9461923241615295,0.8385879397392273,5.609767913818359,0.042628244
3183,61,196096,383,0.341796875,0.2,0.0002,30.870394563674928,3820,275.26328832,-3.681345468759537,992.19,0.0028305022162385283,0.9079253226518631,0.838577389717102,5.0593767166137695,0.103639714
3191,61,196608,384,0.4884765625,0.2,0.0002,66.82192316055298,3830,278.26856201,-3.6808697998523714,992.19,0.040374736906960605,0.5149545669555664,0.8383520841598511,11.551453590393066,0.0988913
3199,61,197120,385,0.279296875,0.2,0.0002,44.468754053115845,3840,278.26856201,-3.6806344747543336,992.19,0.021476202784106134,-0.0042154788970947266,0.8383724689483643,11.691064834594727,0.03063864
