time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/explained_variance
548,106.39153435,233472,1150.4,425,114,8.004065604135395,0.007548067,0.1103515625,-3.563066578656435,1130,0.0003,0.2,0.570015549659729,-0.004170372616499662,0.5967637300491333,0.866640105843544
548,105.99847002,235520,1146.28,429,115,2.3248436781577766,0.016009383,0.216796875,-3.525795066356659,1140,0.0003,0.2,2.1535227298736572,-0.006158641682122834,0.5870642066001892,0.320930540561676
548,108.46466237,237568,1149.16,432,116,2.6989296546205876,0.014426839,0.16708984375,-3.5028095573186873,1150,0.0003,0.2,1.0686368942260742,-0.00696479364996776,0.589836835861206,0.925377257168293
548,109.71741221,239616,1142.74,436,117,1.6426155629567802,0.016056767,0.228271484375,-3.5187254942953587,1160,0.0003,0.2,0.7232251167297363,-0.008505892383982427,0.5908763408660889,0.3884890079498291
548,112.488511,241664,1149.95,440,118,12.890479051787405,0.013069326,0.1517578125,-3.50242917239666,1170,0.0003,0.2,0.29469385743141174,-0.002653189640841447,0.587154746055603,0.8015718907117844
547,115.76574896999999,243712,1163.06,444,119,1.5379345049150288,0.01588628,0.2064453125,-3.490380186587572,1180,0.0003,0.2,1.4281177520751953,-0.006123471350292675,0.5862560272216797,0.5034849345684052
547,114.59244832000002,245760,1136.5,448,120,1.373765497840941,0.014906732,0.215283203125,-3.475942386686802,1190,0.0003,0.2,0.18646913766860962,-0.012369710201164707,0.5839766263961792,0.5981364548206329
547,117.06513438000002,247808,1139.16,452,121,12.233909674361348,0.010354079,0.143359375,-3.4716991990804673,1200,0.0003,0.2,1.4820024967193604,-0.009834667859831826,0.5847475528717041,0.8761830180883408
547,119.26141081000002,249856,1138.41,456,122,1.7634789398871362,0.0138929915,0.16123046875,-3.471319128572941,1210,0.0003,0.2,0.27148133516311646,-0.007445014614495449,0.5820189714431763,0.5843848288059235
547,126.61134171000002,251904,1164.96,460,123,2.0051706911064686,0.012191663,0.17158203125,-3.4475347340106963,1220,0.0003,0.2,1.6452549695968628,-0.008715356778702698,0.5784528851509094,0.6844644546508789
547,129.20870879,253952,1169.29,464,124,2.228747653588653,0.013774388,0.19482421875,-3.4104298137128355,1230,0.0003,0.2,1.913555383682251,-0.01022779863269534,0.571629524230957,0.6035876274108887
547,131.91875013,256000,1169.95,467,125,1.8541120062582195,0.013225362,0.180029296875,-3.3660008035600186,1240,0.0003,0.2,2.110698699951172,-0.007626002495817375,0.5664379000663757,0.5792734324932098
546,132.8287717,258048,1167.0,471,126,8.816990535892547,0.010457325,0.10791015625,-3.3558637253940105,1250,0.0003,0.2,5.334374904632568,-0.005674370261840522,0.5671308040618896,0.9327701181173325
547,132.22779713999998,260096,1153.63,475,127,2.012698776368052,0.018127363,0.211474609375,-3.340320160239935,1260,0.0003,0.2,0.4219229221343994,-0.009055424219695851,0.5620330572128296,0.1236467957496643
547,132.60504937,262144,1148.56,478,128,5.410331662651151,0.009390841,0.149658203125,-3.3266895584762097,1270,0.0003,0.2,3.7313072681427,-0.007301726544392295,0.5641695857048035,0.9590840823948383
547,131.88666346999997,264192,1138.98,482,129,5.105612290464341,0.017551411,0.1552734375,-3.35252438262105,1280,0.0003,0.2,0.694339394569397,-0.00859858441108372,0.5698564052581787,0.8660359084606171
547,134.53802341,266240,1145.35,486,130,6.328590112365783,0.010172956,0.14423828125,-3.375358051806688,1290,0.0003,0.2,1.5256779193878174,-0.008314308714761864,0.5699629783630371,0.9421917200088501
547,126.07316282,268288,1103.3,490,131,1.4052662982605397,0.018438075,0.215185546875,-3.3616294845938683,1300,0.0003,0.2,1.2491693496704102,-0.006629100095597096,0.5683964490890503,0.45688480138778687
547,126.48337199,270336,1101.85,493,132,30.520137625932694,0.007347372,0.05947265625,-3.35447061508894,1310,0.0003,0.2,13.143682479858398,-0.0071376771986251695,0.5681012868881226,0.9179291129112244
547,129.26276198999997,272384,1113.92,497,133,1.5589006787166,0.015354234,0.206640625,-3.3346085458993913,1320,0.0003,0.2,1.3814582824707031,-0.01078060409927275,0.5642220973968506,0.37803399562835693
547,119.92676363999999,274432,1069.35,501,134,19.620767987519503,0.009594673,0.09765625,-3.317806839197874,1330,0.0003,0.2,4.445411682128906,-0.007264760076941457,0.5636063814163208,0.8976398333907127
547,123.53259452000002,276480,1082.53,504,135,27.285921117663385,0.0070212986,0.050146484375,-3.314014831185341,1340,0.0003,0.2,13.452916145324707,-0.009779094169789459,0.5629173517227173,0.9243686273694038
547,123.26512141,278528,1076.43,508,136,1.4330950800329447,0.022294037,0.255712890625,-3.2954988591372967,1350,0.0003,0.2,0.9048452973365784,-0.011868159206642304,0.5600380897521973,0.3350256681442261
547,126.76233393000001,280576,1078.94,512,137,6.516205952130258,0.0137051325,0.200830078125,-3.2654909625649453,1360,0.0003,0.2,3.56589937210083,-0.009132604379556142,0.5564717650413513,0.936606265604496
547,123.7015006,282624,1062.88,516,138,16.74226527661085,0.00803072,0.07783203125,-3.255827700346708,1370,0.0003,0.2,4.387604236602783,-0.005436097187339328,0.5560738444328308,0.8381207883358002
546,123.98051478,284672,1060.76,520,139,7.472741028666496,0.011464538,0.117431640625,-3.2421182572841643,1380,0.0003,0.2,1.2729599475860596,-0.010195293978904374,0.5535537600517273,0.9548451341688633
545,127.91150387999998,286720,1074.07,525,140,19.89981683343649,0.011138106,0.1291015625,-3.224071951955557,1390,0.0003,0.2,2.1606709957122803,-0.012587070649897215,0.5510022044181824,0.5196597576141357
544,124.63419133000001,288768,1056.13,529,141,4.395982111617923,0.016757775,0.154736328125,-3.18924555554986,1400,0.0003,0.2,2.2856853008270264,-0.006906193899339996,0.5442991852760315,0.7720048278570175
544,127.20548343,290816,1059.35,534,142,6.758379072044045,0.014210473,0.171728515625,-3.1564497098326685,1410,0.0003,0.2,2.842794179916382,-0.0063035803701495755,0.5420417189598083,0.9251947924494743
543,124.35588705999999,292864,1041.6,538,143,11.53163007888943,0.023346033,0.195849609375,-3.1453019730746745,1420,0.0003,0.2,6.886830806732178,-0.010041931390878745,0.5413415431976318,0.9259291589260101
542,123.26861328,294912,1026.25,543,144,9.027526536211372,0.021708393,0.228271484375,-3.1298073910176756,1430,0.0003,0.2,2.3836569786071777,-0.011193302398896775,0.5366897583007812,0.948704618960619
541,120.6281062,296960,1014.47,548,145,16.068270796537398,0.019190714,0.18369140625,-3.1079373233020307,1440,0.0003,0.2,3.092665195465088,-0.015747844430734403,0.5352975130081177,0.7914607375860214
541,120.78881274999998,299008,1012.56,552,146,3.0980376760475337,0.025975786,0.306787109375,-3.0976834163069724,1450,0.0003,0.2,1.9035279750823975,-0.0026843565836315976,0.5312227606773376,0.9517750218510628
540,125.73495613000001,301056,1030.41,557,147,9.792211147397756,0.015882626,0.233251953125,-3.0797055028378963,1460,0.0003,0.2,0.5004782676696777,-0.007731895166216418,0.533360481262207,0.9344167113304138
539,125.86932232000001,303104,1028.74,561,148,11.602324305847286,0.021461604,0.234228515625,-3.090661369264126,1470,0.0003,0.2,8.047188758850098,-0.007230622989300173,0.5330525040626526,0.9417900145053864
540,126.12579016000001,305152,1023.4,565,149,1.9669193455949425,0.017566476,0.250830078125,-3.088863658905029,1480,0.0003,0.2,2.190436363220215,-0.006733355749747716,0.5333994030952454,0.4140530228614807
540,123.52074603999999,307200,1016.14,568,150,45.7197859916836,0.009544299,0.15419921875,-3.0837696939706802,1490,0.0003,0.2,10.574271202087402,-0.006888050207635388,0.5321502685546875,0.7931896150112152
540,126.11573492,309248,1029.32,572,151,18.64737595357001,0.0119273355,0.146435546875,-3.078770812600851,1500,0.0003,0.2,8.494279861450195,-0.013618077489081771,0.531295657157898,0.938741534948349
540,128.70632745,311296,1034.28,575,152,8.00315993130207,0.02150097,0.209912109375,-3.0729708187282085,1510,0.0003,0.2,1.731150507926941,-0.007774960447568447,0.5296722054481506,0.9519855044782162
541,127.39009085000002,313344,1032.82,579,153,9.23732892163098,0.017331088,0.1884765625,-3.055033493041992,1520,0.0003,0.2,5.756422996520996,-0.01243117849517148,0.526130199432373,0.2910465598106384
541,125.37635109000001,315392,1018.11,582,154,9.127809631079435,0.01999094,0.22275390625,-3.034025415033102,1530,0.0003,0.2,1.5965173244476318,-0.008004350849660113,0.5254063010215759,0.9403061047196388
541,125.68331339000001,317440,1017.92,585,155,8.796786473505199,0.016102284,0.184033203125,-3.042851605266333,1540,0.0003,0.2,2.1187853813171387,-0.006952650181483477,0.5278527736663818,0.7971036583185196
542,126.59527697999998,319488,1020.13,589,156,15.694735335931181,0.008946587,0.07333984375,-3.062247149646282,1550,0.0003,0.2,12.608311653137207,-0.006196547814761288,0.5305396914482117,0.933086097240448
542,128.675208,321536,1033.33,592,157,17.314069851487876,0.015132194,0.175146484375,-3.08543766438961,1560,0.0003,0.2,10.514360427856445,-0.008427901445247698,0.5337722301483154,0.8677540272474289
542,128.8653523,323584,1032.39,596,158,27.15213561207056,0.008366844,0.114111328125,-3.1052508391439915,1570,0.0003,0.2,34.18623733520508,-0.008244066915358417,0.5356122255325317,0.9356752261519432
